Unnamed: 0, ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,CLIENT,,,,,: We Do,,,,PT. JUARA BERHASIL BERKAH SEJAHTERA,,,,,,,
,PROJECT TITLE,,,,,: Rapat Konsolidasi Nasional Kemendikdasmen,,,,,,,,,,,
,DURATION,,,,,: 3 Days,,,,,,,,,,,
,VENUE,,,,,: PPSDM Kemendikdasmen,,,,,QUOT NO.,,: 010/QUOT/WEDO/I/2026,,,,
,CITY,,,,,: Depok,,,,,DATE,,: 2 Februari 2026,,,,
,,,,,,,,,,,,,,,,,
,NO ,ITEM / TASK,,,,,SPECIFICATION,QTY,,FRQ,,,,PRICE,AMOUNT,NEGO,
,A,PERMIT,,,,,,,,,,,,,,PRICE,AMOUNT
,,Permit,,,,,,1,pax,1,event,1.0,time,50000000,50000000,,
,,,POLRES,,,,,,,,,,,,,,
,,,POLSEK,,,,,,,,,,,,,,
,,,DISHUB,,,,,,,,,,,,,,
,,PAM ,,,,,,25,prsn,3,day,1.0,time,300000,22500000,,
,,Ambulance,,,,,Bersurat ke Dinkes oleh PPSDM. jam kerja 8jam/shift(*24jam/hari),2,unit,5,shift,1.0,time,3000000,30000000,2500000,25000000
,,Damkar,,,,,,1,unit,3,day,1.0,time,4500000,13500000,4000000,12000000
,,,,,,,,,,,,,,,,,
,B,VENUE - SYSTEM - SETUP,,,,,,,,,,,,,,,
,,SETUP,,,,,,,,,,,,,,,
,,,,Signage ,,,"tripod signage, foam Sticker print",75,unit,1,event,1.0,time,350000,26250000,,
,,,,Halte Signage,,,dim.122x244 | Multiplex fin.flexy print,2,unit,1,event,1.0,time,2500000,5000000,,
,,,,Signage Information Center,,,Roll Up Banner | 2 unit tiap Asrama,8,unit,1,event,1.0,time,600000,4800000,,
,,,,Qeue Line,,,,40,unit,3,day,1.0,time,125000,15000000,,
,,,,,,,,,,,,,,,,,
,C,PARTICIPANT,,,,,,,,,,,,,,,
,,ID Card & Lanyard Peserta,,,,,PVC ,850,pcs,1,event,1.0,time,25000,21250000,,
,,ID Card & Lanyard Narasumber,,,,,PVC ,10,pcs,1,event,1.0,time,25000,250000,,
,,ID Card & Lanyard Undangan,,,,,PVC ,150,pcs,1,event,1.0,time,25000,3750000,,
,,Luggage Tag,,,,,,400,pcs,1,event,1.0,time,12500,5000000,,
,,Hi-Ace,,,,,"include: meals driver, stand by overtime",30,unit,4,day,1.0,time,1800000,216000000,,
,,Sticker Kendaraan,,,,,,30,pcs,1,event,1.0,time,7500,225000,,
,,,,,,,,,,,,,,,,,
,D,COMMITTEE,,,,,,,,,,,,,,,
,,Project Officer,,,,,,1,prsn,1,event,1.0,time,15000000,15000000,9000000,9000000
,,,Traffic Administrator,,,,,1,prsn,1,event,1.0,time,7500000,7500000,0,0
